"xsd","xsi","version","parameterTypes__ParamType__typeName","parameterTypes__ParamType__typeCode","parameters__ParamWithValue__name","parameters__ParamWithValue__typeCode","parameters__ParamWithValue__value","parameters__ParamWithValue__comment","parameters__ParamWithValue__isKey"
"http://www.w3.org/2001/XMLSchema","http://www.w3.org/2001/XMLSchema-instance","20080502","Inventor","0","d1","in","a1MajorDiameterAvg","","false"
"","","","String","1","d2","in","threadPostLength","","false"
"","","","Boolean","2","d3","deg","0.00 deg","","false"
"","","","","","d4","in","handleDiameter","","false"
"","","","","","d5","in","handleLength","","false"
"","","","","","d6","deg","0.00 deg","","false"
"","","","","","handleDiameter","in","1.85 in","","false"
"","","","","","brakeHandle","deg","30 deg","","false"
"","","","","","innerDiameter","in","5 in / 8 ul + 0.010 in","10/1000 added to allow for a slip fit","false"
"","","","","","heightOfBrake","in","1 in / 4 ul","","false"
"","","","","","majorDiameter","in","1.6232 in","","false"
"","","","","","pitchDiameter","in","1.5691 in","","false"
"","","","","","minorDiameter","in","1.5240 in","","false"
"","","","","","pitch","in","1 in / threadsPerInch","","false"
"","","","","","crestFlat","in","0.0170 in","","false"
"","","","","","d38","deg","60 deg","","false"
"","","","","","d39","in","rootRadius","","false"
"","","","","","rootRadius","in","0.0088 in","","false"
"","","","","","d41","in","pitch","","false"
"","","","","","threadsPerInch","ul","12 ul","","false"
"","","","","","d42","in","a1MajorDiameterAvg / 2 ul","","false"
"","","","","","d43","in","pitch","","false"
"","","","","","d44","in","threadLength","","false"
"","","","","","d46","deg","0.00 deg","","false"
"","","","","","threadDepth","in","0.0599 in","","false"
"","","","","","d52","in","a1MinorDiameterAvg / 2 ul","","false"
"","","","","","totalLength","in","1 in - 0.375 in","","false"
"","","","","","handleLength","in","1 in / 8 ul","","false"
"","","","","","threadPostLength","in","totalLength - handleLength","","false"
"","","","","","threadLength","in","threadPostLength + ( 2 ul * pitch )","","false"
"","","","","","brakeStopLength","in","0.5 in","","false"
"","","","","","a1MajorDiameterMax","in","1.6232 in","","false"
"","","","","","a1MajorDiameterMin","in","1.6061 in","","false"
"","","","","","a1MajorDiameterAvg","in","( a1MajorDiameterMax + a1MajorDiameterMin ) / 2 ul","","false"
"","","","","","a1MinorDiameterMax","in","1.5240 in","","false"
"","","","","","a1MinorDiameterMin","in","1.4978 in","","false"
"","","","","","a1MinorDiameterAvg","in","( a1MinorDiameterMax + a1MinorDiameterMin ) / 2 ul","","false"
"","","","","","a1RootRadiusMax","in","0.0103 in","","false"
"","","","","","a1RootRadiusMin","in","0.0060 in","","false"
"","","","","","a1RootRadiusAvg","in","( a1RootRadiusMax + a1RootRadiusMin ) / 2 ul","","false"
"","","","","","d57","in","1.5 in","","false"
"","","","","","d58","in","0.050 in","","false"
"","","","","","d59","deg","0.00 deg","","false"
"","","","","","d60","in","1.2 in","","false"
"","","","","","d61","in","1 in / 2 ul","","false"
"","","","","","d62","deg","0.00 deg","","false"
